Rock_Type,Porosity,Permeability,Trap_Type,Seismic_Score,Proximity_to_Oil_Field,Estimated_Reservoir_Depth,RQI,FZI,Reservoir_Quality,Compaction_Factor,Hydrocarbon_Potential,Normalized_Depth,Depth_Adjusted_Perm,Oil_Presence
Limestone,17.667992248366925,834.2774716830587,None,0.7059325391660635,2.431354554240388,2228.0,0.21577012154504654,0.00012212486767702226,14740.007902683437,1.060429208060921,1.7163722940878896,0.4456,374.4512889062202,1
Limestone,27.66575784153853,578.1580343906811,None,0.5458064856189166,2.6061575229330955,1610.0,0.14354287653730277,5.188467178794628e-05,15995.18017359249,1.0433105588978056,1.422457678561414,0.322,359.10436918675845,0
Sandstone,28.85594623043996,404.79068472927247,None,0.1675304883042765,1.1431362932448643,2344.0,0.11760539445637713,4.075603465476239e-05,11680.618233130861,1.0636735884520487,0.19151018140565274,0.4688,172.6922716421811,0
Sandstone,0.4109565122674363,887.8366734954275,Dome,0.026851954,2.6735317963985428,2800.0,1.4594803587096945,2.0919425172950423,364.86226280280346,1.07652385244407,0.07178955281443104,0.56,317.08452624836696,0
Shale,16.490538409697347,562.2888023922533,None,0.500169229,2.0644401493267903,2772.5,0.18335465817935703,0.00011118779364507248,9272.445093192175,1.0757445111603952,1.0325694378054258,0.5545,202.8093065436441,0
Shale,16.654791893704644,979.1547836002072,Anticline,0.044456614,4.927771473864251,3556.0,0.24076076680244096,0.00014455945672515205,16307.619152586856,1.098171185544409,0.21907203429379407,0.7112,275.35286377958585,1
Limestone,8.342985451990693,384.0118223933495,Fault,0.4785086131694892,0.4393391793391438,2837.0,0.2130302134051076,0.000255340506861698,3203.805047620149,1.0775733116567499,0.2102275814165952,0.5674,135.3584146610326,0
Shale,13.11154565526563,263.80664411970764,Fault,0.3750412944949018,4.602918595445432,2837.0,0.14084634031184023,0.0001074216145182517,3458.912858537959,1.0775733116567499,1.7262845484905103,0.5674,92.9878900668691,0
Shale,10.309874078054525,384.00204698571395,Fault,0.500169229,0.6728042533643175,867.0,0.19163275237774832,0.00018587302902724635,3959.012750137888,1.0230948454596374,0.33651598467315136,0.1734,442.9089353929803,0
Sandstone,28.418999982602006,728.1063284167923,Anticline,0.1943209733839072,4.097615610479682,2741.0,0.15893613771784684,5.5926013517416834e-05,20692.05373460923,1.0748525043845978,0.7962526539815049,0.5482,265.6352894625291,0
Limestone,10.87947043827561,33.59159718497384,Fault,0.7515463074381062,2.480208479564591,2909.0,0.05517484181804401,5.071463921987475e-05,365.4587885483851,1.079618435924743,1.8639915244934482,0.5818,11.547472390846973,1
Limestone,8.582697660937818,734.7339174894475,Fault,0.4785086131694892,2.480208479564591,989.0,0.29052451532901724,0.0003385002324517069,6305.999075048361,1.026387166319498,1.1868011199276598,0.1978,742.9058821935769,1
Shale,12.221468373574211,383.99419233187365,Anticline,0.002468503,3.759427143094821,3371.0,0.17600713835816725,0.0001440147230906701,4692.972877220167,1.0928339931420108,0.009280157181010995,0.6742,113.91106269115208,0
Sandstone,14.973259743228196,634.1815908237148,Fault,0.4814464104827508,4.130235932686231,4155.0,0.2043517138544993,0.00013647777261522454,9495.765683777145,1.1156316317647388,1.9884872642386622,0.831,152.63094845336096,1
Limestone,21.51361705416581,481.2427330125042,Fault,0.4785086131694892,2.480208479564591,2837.0,0.14850976928908424,6.903059067899853e-05,10353.271868131173,1.0775733116567499,1.1868011199276598,0.5674,169.6308540756095,1
