iter	Passed	Remaining
0	7	718
1	9	476
2	16	522
3	18	454
4	21	407
5	24	376
6	26	348
7	29	334
8	31	320
9	32	293
10	35	284
11	37	277
12	41	276
13	44	272
14	46	264
15	48	256
16	50	248
17	53	242
18	55	237
19	59	238
20	63	238
21	65	233
22	68	228
23	70	223
24	72	217
25	74	212
26	77	208
27	80	208
28	83	203
29	85	198
30	87	193
31	89	189
32	91	185
33	93	182
34	95	178
35	97	174
36	100	170
37	102	167
38	104	163
39	106	159
40	108	156
41	110	152
42	112	149
43	114	146
44	117	143
45	119	140
46	121	137
47	123	133
48	125	130
49	127	127
50	130	124
51	132	121
52	134	119
53	136	116
54	138	113
55	140	110
56	142	107
57	145	105
58	147	102
59	149	99
60	151	96
61	153	94
62	155	91
63	157	88
64	159	85
65	161	83
66	164	80
67	166	78
68	168	75
69	170	73
70	172	70
71	174	67
72	176	65
73	178	62
74	181	60
75	183	57
76	185	55
77	187	52
78	189	50
79	191	47
80	193	45
81	196	43
82	198	40
83	200	38
84	202	35
85	204	33
86	206	30
87	208	28
88	212	26
89	214	23
90	216	21
91	219	19
92	221	16
93	223	14
94	225	11
95	227	9
96	229	7
97	231	4
98	233	2
99	235	0
