Rock_Type,Porosity,Permeability,Trap_Type,Seismic_Score,Proximity_to_Oil_Field,Estimated_Reservoir_Depth,Oil_Presence
Limestone,17.667992248366925,834.2774716830587,None,0.7059325391660635,2.431354554240388,2228.0,1
Limestone,27.66575784153853,578.1580343906811,None,0.5458064856189166,2.6061575229330955,1610.0,0
Sandstone,28.85594623043996,404.79068472927247,None,0.1675304883042765,1.1431362932448643,2344.0,0
Sandstone,0.4109565122674363,887.8366734954275,Dome,0.026851954,2.6735317963985428,2278.5,0
Shale,16.490538409697347,562.2888023922533,None,0.4735519079754193,2.0644401493267903,2099.0,0
Shale,16.654791893704644,979.1547836002072,Anticline,0.044456614,4.927771473864251,3556.0000000000005,1
Limestone,8.342985451990693,928.3754712170636,Fault,0.8548883812458589,0.4393391793391438,2138.0,0
Shale,13.11154565526563,263.80664411970764,Fault,0.3750412944949018,4.602918595445432,3424.0,0
Shale,18.167926117366633,692.010774527086,Fault,0.411636664453557,0.6728042533643176,867.0,0
Sandstone,28.418999982602006,728.1063284167923,Anticline,0.1943209733839072,4.097615610479682,927.2159674543553,0
Limestone,15.42467353921598,33.59159718497384,Fault,0.7515463074381062,2.568435092192728,2909.0000000000005,1
Limestone,8.582697660937818,734.7339174894475,Fault,0.24809599725555254,2.2506135536012826,989.0,1
Shale,12.221468373574211,512.6988057934744,Anticline,0.002468503,3.7594271430948205,3371.0000000000005,0
Sandstone,14.973259743228196,634.1815908237148,Fault,0.8700732869876692,4.130235932686231,4155.0,1
Limestone,21.51361705416581,481.2427330125042,Fault,0.4435376587527064,2.456810699632477,2487.4,1
Sandstone,27.100080195681155,415.34959468715306,Fault,0.262535695495924,3.0476147681108103,1723.5000000000002,0
Limestone,10.69705422905264,989.5304395413664,Fault,0.1510131174271062,1.1960002058466537,2433.4999999999995,0
Sandstone,18.199804212916657,286.0760246118568,None,0.972293584,0.565441445,915.9999999999999,0
Sandstone,24.68108765151619,926.2819662,Fault,0.5663996947604685,3.502660577959986,2410.5,0
Sandstone,16.793871665392928,280.28618001446654,Anticline,0.3683973702210215,3.849460654093752,889.0,0
Sandstone,24.16577740728171,930.5987384063446,Dome,0.6566489242366188,4.622035604,2735.8,1
Shale,12.704460277479985,268.5770756383549,Anticline,0.3998664630365941,0.9394875997220088,618.0,0
Limestone,24.56240431152575,944.7225119992198,Fault,0.5703565075052258,1.4188697847764546,2681.399999999999,1
Limestone,27.45501413923665,85.54256832457025,Anticline,0.0424307372486445,4.491105152302406,1853.0,0
Shale,22.04277866548136,467.3440950980539,Anticline,0.057552712902737724,0.9246253835458446,3171.0,0
