iter	Passed	Remaining
0	11	1103
1	20	996
2	30	994
3	39	959
4	52	1002
5	65	1030
6	75	1004
7	84	973
8	94	959
9	98	884
10	110	892
11	122	895
12	130	872
13	139	855
14	148	839
15	157	825
16	166	810
17	174	796
18	183	782
19	198	793
20	207	781
21	214	761
22	220	737
23	224	709
24	227	683
25	231	659
26	236	638
27	240	618
28	250	612
29	259	606
30	269	599
31	275	585
32	279	568
33	284	551
34	288	535
35	292	519
36	298	508
37	303	494
38	308	482
39	314	471
40	321	462
41	327	451
42	332	440
43	337	429
44	342	418
45	351	413
46	363	410
47	368	399
48	374	389
49	379	379
50	384	369
51	388	358
52	392	348
53	397	338
54	401	328
55	406	319
56	411	310
57	415	300
58	419	291
59	424	282
60	428	274
61	432	265
62	436	256
63	442	248
64	446	240
65	450	232
66	454	223
67	459	216
68	465	209
69	470	201
70	476	194
71	482	187
72	486	180
73	491	172
74	495	165
75	505	159
76	510	152
77	522	147
78	531	141
79	537	134
80	545	127
81	550	120
82	555	113
83	560	106
84	565	99
85	570	92
86	577	86
87	582	79
88	589	72
89	594	66
90	599	59
91	604	52
92	608	45
93	613	39
94	621	32
95	627	26
96	633	19
97	639	13
98	644	6
99	648	0
